fid,Latitude,Longitude,ep50k,ep40k,newsales,total_sale
1,43.45327,-71.5637252,934,797,1819,4628
2,43.5359187,-71.4656835,1018,895,2466,5096
3,43.1890229,-71.5024128,1736,1521,4181,6739
4,43.1759519,-70.8680421,549,507,1539,2557
5,43.1936009,-71.5260214,293,264,1543,2399
6,43.174826,-71.5285391,503,429,0,812
7,43.2458855,-70.8988727,452,214,0,739
8,43.071079,-70.780773,275,230,682,1275
9,43.0771915,-70.7850974,242,205,570,1086
10,43.2411015,-70.8983232,270,234,430,868
11,43.0842535,-70.793296,247,196,1696,2080
12,43.4527437,-71.5650466,141,117,737,1116
13,43.0962795,-70.7949927,213,115,0,378
14,43.1702129,-71.5265782,329,305,0,345
15,43.190592,-71.508865,190,163,257,565
16,43.2359314,-70.8955249,156,129,333,640
17,43.3154104,-70.993422,148,111,339,643
18,43.2406472,-71.3981982,21,19,0,301
19,43.1876333,-71.4968857,253,187,0,292
20,43.0888832,-70.7906715,144,78,0,253
21,43.1737277,-71.5301338,232,198,0,251
22,43.1757948,-70.8672731,156,120,313,549
23,43.1929612,-71.5201401,156,135,0,190
24,43.5127444,-71.4949757,106,85,0,154
25,43.0785098,-70.7867874,126,104,0,151
26,43.5436123,-71.4647261,120,108,0,133
27,43.187155,-71.5012302,85,73,0,123
28,43.0717552,-70.7625532,99,85,16,132
29,43.2438484,-71.4041419,0,0,0,103
30,43.2574109,-70.9005594,76,65,0,86
31,43.1877797,-71.5018458,82,80,0,84
32,43.338495,-71.014959,2,1,0,76
33,43.3275327,-71.0050742,55,48,0,62
34,43.1727139,-70.8597061,44,35,0,61
35,43.2657976,-70.9062279,50,44,0,54
36,43.4419431,-71.6599908,48,44,0,50
37,43.3239446,-71.0015454,18,16,0,33
38,43.7716307,-71.7275637,19,17,0,32
39,43.6327015,-70.3390379,18,16,0,30
40,43.0693364,-70.9408711,12,6,0,22
41,43.2431603,-71.3676236,5,5,27,47
42,43.3306202,-71.0047842,9,4,0,12
43,43.5036907,-71.4613933,4,3,0,4
44,44.8281319,-68.7454291,0,0,0,2
45,43.9944515,-70.0579588,1,0,0,2
46,44.1280002,-70.2241086,1,1,0,1
47,44.1281735,-70.2255592,0,0,0,1
48,44.2433765,-69.7711291,0,0,0,1
49,43.9338339,-69.9643483,1,1,0,1
50,43.419228,-70.516629,0,0,0,1
51,43.5345762,-70.4246661,1,1,0,1
52,43.414007,-70.748475,0,0,0,1
53,44.0935462,-69.1391037,0,0,0,1
54,43.5379635,-70.4195989,1,1,0,1
55,43.2330325,-70.8082956,0,0,0,1
56,40.7531179,-73.918293,4693,3511,2344,9613
57,39.7330206,-75.0066231,4881,4359,0,6552
58,39.730105,-75.032102,3648,3057,7966,14000
59,41.5121391,-73.0218026,1526,1265,0,4764
60,41.7876559,-72.664953,2851,2494,0,4624
61,40.1026433,-75.3066775,1823,1598,4892,8744
62,40.219748,-74.130114,2677,2293,0,3586
63,40.3025003,-75.2887486,3246,3223,0,3517
64,40.173324,-74.8899222,2093,1469,5390,8509
65,40.7533889,-73.9035976,2088,1944,6016,8776
66,41.4140362,-73.4243068,1250,955,2771,5411
67,41.2209526,-73.0731631,1124,837,1934,4508
68,40.9178489,-74.0612549,1443,1280,5500,7930
69,40.6522144,-73.9213322,1372,883,941,3308
70,40.6972442,-73.8150395,675,426,0,2341
71,41.4737946,-73.0408994,322,215,0,2264
72,40.6915648,-74.2904812,1327,1166,5488,7731
73,39.9181544,-74.94359,1464,1237,2579,4656
74,40.0239039,-74.8151872,1871,1860,0,2072
75,40.7177272,-74.0958894,1351,1211,3192,5243
76,39.9178958,-75.0320394,1014,794,4138,6143
77,40.0964091,-75.2949309,920,789,2331,4209
78,40.846098,-74.8120431,851,540,1391,3263
79,39.9441442,-74.9761613,1192,999,1419,3230
80,39.9062523,-75.2248695,1660,764,0,1793
81,40.448303,-74.2984941,935,790,2784,4563
82,41.6968373,-72.9078984,1081,852,1418,3153
83,40.228766,-74.0686885,1005,768,2132,3854
84,40.1658436,-74.9029644,831,792,1956,3668
85,40.732498,-73.2584196,856,715,3523,5196
86,40.2905812,-74.0428831,762,641,2077,3730
87,39.9216543,-74.9488531,1263,1116,764,2416
88,40.1042946,-75.0034047,505,313,0,1646
89,40.602784,-74.2687205,928,751,0,1642
90,40.9200141,-73.7658504,1119,1036,3198,4832
91,42.1424025,-72.626373,944,754,2007,3620
92,40.6686653,-73.4094153,1033,922,4592,6198
93,40.6968395,-75.2856055,547,468,2008,3610
94,41.9387873,-72.6683973,1498,1303,0,1592
95,40.7210253,-75.2910917,591,470,1264,2813
96,40.270737,-74.711494,728,669,2097,3628
97,41.1927387,-73.1226265,225,154,0,1530
98,40.5985635,-75.3410045,444,375,660,2173
99,40.455498,-74.479362,984,706,2581,4080
100,40.8285987,-73.4032811,853,751,4901,6385
