,fid,Latitude,Longitude,ep50k,ep40k,newsales,total_sale,accuracy,type,city,country,county,street,number,postdirectional,predirectional,state,street,suffix,zip,address,lat,lng,source
0,1,43.45327,-71.5637252,934,797,1819,4628,1.0,rooftop,Tilton,US,Belknap County,Tilton Rd,40,,,NH,Tilton,Rd,03276,"40 Tilton Rd, Tilton, NH 03276",43.45322,-71.563417,Statewide
1,2,43.5359187,-71.4656835,1018,895,2466,5096,1.0,rooftop,Laconia,US,Belknap County,Bisson Ave,59,,,NH,Bisson,Ave,03246,"59 Bisson Ave, Laconia, NH 03246",43.535827,-71.465494,Statewide
2,3,43.1890229,-71.5024128,1736,1521,4181,6739,1.0,nearest_street,Concord,US,Merrimack County,Us Hwy 3,143,,,NH,Us Hwy 3,,03301,"143 Us Hwy 3, Concord, NH 03301",43.188451,-71.502693,TIGER/Line® dataset from the US Census Bureau
3,4,43.175951899999994,-70.8680421,549,507,1539,2557,1.0,rooftop,Dover,US,Strafford County,Dover Point Rd,1,,,NH,Dover Point,Rd,03820,"1 Dover Point Rd, Dover, NH 03820",43.175961,-70.868043,Statewide
4,5,43.19360089999999,-71.5260214,293,264,1543,2399,1.0,nearest_street,Concord,US,Merrimack County,Us Hwy 3,99,,,NH,Us Hwy 3,,03301,"99 Us Hwy 3, Concord, NH 03301",43.193999,-71.527076,TIGER/Line® dataset from the US Census Bureau
5,6,43.174826,-71.52853909999999,503,429,0,812,1.0,nearest_street,Concord,US,Merrimack County,I 93,,,,NH,I 93,,03301,"I 93, Concord, NH 03301",43.17444,-71.531834,TIGER/Line® dataset from the US Census Bureau
6,7,43.2458855,-70.89887270000001,452,214,0,739,1.0,rooftop,Somersworth,US,Strafford County,Rt 108,221,,,NH,Rt 108,,03878,"221 Rt 108, Somersworth, NH 03878",43.246272,-70.898092,Statewide
7,8,43.071079,-70.780773,275,230,682,1275,1.0,nearest_street,Portsmouth,US,Rockingham County,Us Hwy 1st Byp,524,,,NH,Us Hwy 1st,Byp,03801,"524 Us Hwy 1st Byp, Portsmouth, NH 03801",43.071418,-70.779595,TIGER/Line® dataset from the US Census Bureau
8,9,43.0771915,-70.7850974,242,205,570,1086,1.0,nearest_street,Portsmouth,US,Rockingham County,Us Hwy 4,195,,,NH,Us Hwy 4,,03801,"195 Us Hwy 4, Portsmouth, NH 03801",43.0771,-70.785834,TIGER/Line® dataset from the US Census Bureau
9,10,43.2411015,-70.89832320000001,270,234,430,868,0.99,rooftop,Somersworth,US,Strafford County,Rt 108,112,,,NH,Rt 108,,03878,"112 Rt 108, Somersworth, NH 03878",43.241144,-70.899569,Statewide
10,11,43.084253499999996,-70.793296,247,196,1696,2080,1.0,nearest_street,Portsmouth,US,Rockingham County,US 4,,,,NH,US 4,,03801,"US 4, Portsmouth, NH 03801",43.083965,-70.794055,TIGER/Line® dataset from the US Census Bureau
11,12,43.452743700000006,-71.56504659999999,141,117,737,1116,1.0,rooftop,Tilton,US,Belknap County,Tilton Rd,37,,,NH,Tilton,Rd,03276,"37 Tilton Rd, Tilton, NH 03276",43.45281,-71.565182,Statewide
12,13,43.0962795,-70.79499270000001,213,115,0,378,0.98,nearest_street,Portsmouth,US,Rockingham County,Woodbury Ave,2038,,,NH,Woodbury,Ave,03801,"2038 Woodbury Ave, Portsmouth, NH 03801",43.095845,-70.795667,TIGER/Line® dataset from the US Census Bureau
13,14,43.170212899999996,-71.5265782,329,305,0,345,1.0,nearest_street,Concord,US,Merrimack County,I 89,,,,NH,I 89,,03306,"I 89, Concord, NH 03306",43.171606,-71.52768,TIGER/Line® dataset from the US Census Bureau
14,15,43.190591999999995,-71.508865,190,163,257,565,1.0,nearest_street,Concord,US,Merrimack County,Us Hwy 3,95,,,NH,Us Hwy 3,,03301,"95 Us Hwy 3, Concord, NH 03301",43.190038,-71.508943,TIGER/Line® dataset from the US Census Bureau
15,16,43.2359314,-70.89552490000001,156,129,333,640,1.0,rooftop,Somersworth,US,Strafford County,Rt 108,155,,,NH,Rt 108,,03878,"155 Rt 108, Somersworth, NH 03878",43.23594,-70.895526,Statewide
16,17,43.3154104,-70.993422,148,111,339,643,1.0,nearest_street,Rochester,US,Strafford County,US 202,,,,NH,US 202,,03867,"US 202, Rochester, NH 03867",43.315259,-70.996627,TIGER/Line® dataset from the US Census Bureau
17,18,43.2406472,-71.39819820000001,21,19,0,301,1.0,nearest_street,Epsom,US,Merrimack County,Us Hwy 202,14,,,NH,Us Hwy 202,,03234,"14 Us Hwy 202, Epsom, NH 03234",43.240986,-71.397853,TIGER/Line® dataset from the US Census Bureau
18,19,43.1876333,-71.4968857,253,187,0,292,1.0,nearest_street,Concord,US,Merrimack County,Us Hwy 3,192,,,NH,Us Hwy 3,,03301,"192 Us Hwy 3, Concord, NH 03301",43.187148,-71.497047,TIGER/Line® dataset from the US Census Bureau
19,20,43.088883200000005,-70.7906715,144,78,0,253,1.0,rooftop,Portsmouth,US,Rockingham County,Woodbury Ave,1574,,,NH,Woodbury,Ave,03801,"1574 Woodbury Ave, Portsmouth, NH 03801",43.088891,-70.791261,Statewide
20,21,43.1737277,-71.5301338,232,198,0,251,1.0,nearest_street,Concord,US,Merrimack County,I 93,,,,NH,I 93,,03306,"I 93, Concord, NH 03306",43.173626,-71.531501,TIGER/Line® dataset from the US Census Bureau
21,22,43.1757948,-70.86727309999999,156,120,313,549,1.0,rooftop,Dover,US,Strafford County,Dover Point Rd,5,,,NH,Dover Point,Rd,03820,"5 Dover Point Rd, Dover, NH 03820",43.175476,-70.867103,Statewide
22,23,43.1929612,-71.52014009999999,156,135,0,190,1.0,rooftop,Concord,US,Merrimack County,Manchester St,13,,,NH,Manchester,St,03301,"13 Manchester St, Concord, NH 03301",43.193233,-71.519945,Statewide
23,24,43.512744399999995,-71.4949757,106,85,0,154,1.0,nearest_street,Belmont,US,Belknap County,Us Hwy 3,12,,,NH,Us Hwy 3,,03220,"12 Us Hwy 3, Belmont, NH 03220",43.512822,-71.495363,TIGER/Line® dataset from the US Census Bureau
24,25,43.0785098,-70.78678740000001,126,104,0,151,1.0,nearest_street,Portsmouth,US,Rockingham County,Us Hwy 4,271,,,NH,Us Hwy 4,,03801,"271 Us Hwy 4, Portsmouth, NH 03801",43.078022,-70.78726,TIGER/Line® dataset from the US Census Bureau
25,26,43.5436123,-71.4647261,120,108,0,133,1.0,nearest_street,Laconia,US,Belknap County,Us Hwy 3 Bus,631,,,NH,Us Hwy 3 Bus,,03246,"631 Us Hwy 3 Bus, Laconia, NH 03246",43.543943,-71.464911,TIGER/Line® dataset from the US Census Bureau
26,27,43.187155,-71.50123020000001,85,73,0,123,1.0,nearest_street,Concord,US,Merrimack County,Us Hwy 3,143,,,NH,Us Hwy 3,,03301,"143 Us Hwy 3, Concord, NH 03301",43.188451,-71.502693,TIGER/Line® dataset from the US Census Bureau
27,28,43.071755200000005,-70.7625532,99,85,16,132,1.0,nearest_street,Portsmouth,US,Rockingham County,Us Hwy 1,326,,,NH,Us Hwy 1,,03801,"326 Us Hwy 1, Portsmouth, NH 03801",43.071585,-70.762267,TIGER/Line® dataset from the US Census Bureau
28,29,43.2438484,-71.40414190000001,0,0,0,103,1.0,nearest_street,Epsom,US,Merrimack County,US 202,,,,NH,US 202,,03234,"US 202, Epsom, NH 03234",43.243848,-71.404142,TIGER/Line® dataset from the US Census Bureau
29,30,43.257410899999996,-70.9005594,76,65,0,86,1.0,rooftop,Somersworth,US,Strafford County,Rt 108,285,,,NH,Rt 108,,03878,"285 Rt 108, Somersworth, NH 03878",43.257618,-70.899679,Statewide
30,31,43.1877797,-71.5018458,82,80,0,84,1.0,nearest_street,Concord,US,Merrimack County,Us Hwy 3,143,,,NH,Us Hwy 3,,03301,"143 Us Hwy 3, Concord, NH 03301",43.188451,-71.502693,TIGER/Line® dataset from the US Census Bureau
31,32,43.338495,-71.01495899999999,2,1,0,76,1.0,rooftop,Rochester,US,Strafford County,Farmington Rd,148,,,NH,Farmington,Rd,03867,"148 Farmington Rd, Rochester, NH 03867",43.338484,-71.015544,Statewide
32,33,43.327532700000006,-71.00507420000001,55,48,0,62,1.0,rooftop,Rochester,US,Strafford County,Farmington Rd,46,,,NH,Farmington,Rd,03867,"46 Farmington Rd, Rochester, NH 03867",43.327128,-71.004517,Statewide
